autumn,1,1,1,1,1,campo_mourao
spring,1,1,1,1,1,campo_mourao
winter,1,1,0,1,1,campo_mourao
summer,1,1,1,1,1,campo_mourao
autumn,1,1,1,1,1,diamantino
spring,1,1,1,1,1,diamantino
winter,1,1,1,1,1,diamantino
summer,1,1,1,1,1,diamantino
autumn,1,1,1,1,1,ivinhema
spring,1,1,1,1,1,ivinhema
winter,1,1,1,1,1,ivinhema
summer,1,1,1,1,1,ivinhema
autumn,1,1,1,1,1,jaboticabal
spring,1,1,1,1,1,jaboticabal
winter,1,1,1,1,1,jaboticabal
summer,1,1,1,1,1,jaboticabal
autumn,1,1,1,1,1,jaguaruana
spring,1,0,1,1,1,jaguaruana
winter,1,1,1,1,1,jaguaruana
summer,1,1,1,1,1,jaguaruana
autumn,1,1,1,1,1,maceio
spring,1,1,1,1,1,maceio
winter,1,1,1,0,0,maceio
summer,1,1,1,1,1,maceio
autumn,1,1,1,1,1,piracicaba
spring,1,1,1,1,1,piracicaba
winter,1,1,1,1,1,piracicaba
summer,1,1,1,1,1,piracicaba
autumn,1,1,1,1,1,presidente_prudente
spring,1,1,1,1,1,presidente_prudente
winter,1,1,1,1,1,presidente_prudente
summer,1,1,1,1,1,presidente_prudente
autumn,1,1,1,1,1,rio_verde
spring,1,1,1,1,1,rio_verde
winter,1,1,1,0,1,rio_verde
summer,1,1,1,1,1,rio_verde
autumn,1,1,1,1,1,uberaba
spring,1,1,1,1,1,uberaba
winter,1,1,1,1,1,uberaba
summer,1,1,1,1,1,uberaba
